DeviceID,Timestamp,rawData,msgType,status,airtemp,airhumidity,irtemp,dewpoint,battery,longitude,latitude
"	1FEFF6F",2022-09-01T00:13:09,0xa00e4d4406101be34b0000,1,0,14.77,68.6,16.27,29.75,,,
"	1FEFF6F",2022-09-01T00:33:03,0xa00e3d441c0f57e33f0000,1,0,14.61,68.28,15.87,29.63,,,
"	1FEFF6F",2022-09-01T00:43:03,0xa00e3f435b0f63e33a0000,1,0,14.63,67.91,15.99,29.58,,,
"	1FEFF6F",2022-09-01T01:03:05,0xa00e34435e0f5de32f0000,1,0,14.52,67.94,15.93,29.47,,,
"	1FEFF6F",2022-09-01T01:33:08,0xa00e2b45320f39e3450000,1,0,14.43,69.5,15.57,29.69,,,
"	1FEFF6F",2022-09-01T01:53:06,0xa00e24460a0f3be34a0000,1,0,14.36,70.1,15.59,29.74,,,
"	1FEFF6F",2022-09-01T02:03:03,0xa00e2a455e0f3de34d0000,1,0,14.42,69.94,15.61,29.77,,,
"	1FEFF6F",2022-09-01T02:13:06,0xa00e34463b0f3de4000000,1,0,14.52,70.59,15.61,28,,,
"	1FEFF6F",2022-09-01T02:23:08,0xa00e3046200f2de35b0000,1,0,14.48,70.32,15.45,29.91,,,
"	1FEFF6F",2022-09-01T02:43:06,0xa00e30475f0f3be4170000,1,0,14.48,71.95,15.59,28.23,,,
"	1FEFF6F",2022-09-01T02:53:05,0xa00e2d48150f2de41a0000,1,0,14.45,72.21,15.45,28.26,,,
"	1FEFF6F",2022-09-01T03:03:08,0xa00e2b482f0f2be41d0000,1,0,14.43,72.47,15.43,28.29,,,
"	1FEFF6F",2022-09-01T03:23:08,0xa00e3148300f1fe4230000,1,0,14.49,72.48,15.31,28.35,,,
"	1FEFF6F",2022-09-01T03:43:06,0xa00e2b485d0f03e4260000,1,0,14.43,72.93,15.3,28.38,,,
"	1FEFF6F",2022-09-01T04:03:05,0xa00e2349590f0de4310000,1,0,14.35,73.89,15.13,28.49,,,
"	1FEFF6F",2022-09-01T04:13:03,0xa00e2149530f0de42e0000,1,0,14.33,73.83,15.13,28.46,,,
"	1FEFF6F",2022-09-01T04:23:08,0xa00e1f495f0f09e42e0000,1,0,14.31,73.95,15.9,28.46,,,
"	1FEFF6F",2022-09-01T04:53:05,0xa00e044a220e59e41b0000,1,0,14.4,74.34,14.89,28.27,,,
"	1FEFF6F",2022-09-01T05:13:06,0xa00d584b040e53e4190000,1,0,13.88,75.4,14.83,28.25,,,
"	1FEFF6F",2022-09-01T05:23:08,0xa00d4e4a470e3de4090000,1,0,13.78,74.71,14.61,28.9,,,
"	1FEFF6F",2022-09-01T05:33:06,0xa00d384b160e3de3610000,1,0,13.56,75.22,14.61,29.97,,,
"	1FEFF6F",2022-09-01T06:03:03,0xa00d574b420e57e4250000,1,0,13.87,75.66,14.87,28.37,,,
"	1FEFF6F",2022-09-01T06:23:05,0xa00e454b0c0f39e5080000,1,0,14.69,75.12,15.57,27.8,,,
"	1FEFF6F",2022-09-01T06:33:03,0xa00f214a1b1003e5370000,1,0,15.33,74.27,16.3,27.55,,,
"	1FEFF6F",2022-09-01T06:53:03,0xa010454810110be6310000,1,0,16.69,72.16,17.11,26.49,,,
"	1FEFF6F",2022-09-01T07:03:03,0xa011324703115de7070000,1,0,17.5,71.3,17.93,25.7,,,
"	1FEFF6F",2022-09-01T07:13:08,0xa0123d4501121be74e0000,1,0,18.61,69.1,18.27,25.78,,,
"	1FEFF6F",2022-09-01T07:23:03,0xa013244361125fe8200000,1,0,19.36,67.97,18.95,24.32,,,
"	1FEFF6F",2022-09-01T07:33:03,0xa0134142231263e81c0000,1,0,19.65,66.35,18.99,24.28,,,
"	1FEFF6F",2022-09-01T07:53:02,0xa0152f3e1f1421e91e0000,1,0,21.47,62.31,20.33,23.3,,,
"	1FEFF6F",2022-09-01T08:23:02,0xa015413e231463e9300000,1,0,21.65,62.35,20.99,23.48,,,
"	1FEFF6F",2022-09-01T08:33:08,0xa0151c3e36142fe90f0000,1,0,21.28,62.54,20.47,23.15,,,
"	1FEFF6F",2022-09-01T08:43:03,0xa0151a3e4f1521e9120000,1,0,21.26,62.79,21.33,23.18,,,
"	1FEFF6F",2022-09-01T08:53:08,0xa015573c34160be9220000,1,0,21.87,60.52,22.11,23.34,,,
"	1FEFF6F",2022-09-01T09:03:03,0xa016453a391561e94d0000,1,0,22.69,58.57,21.97,23.77,,,
"	1FEFF6F",2022-09-01T09:13:05,0xa0171a3b191635ea2f0000,1,0,23.26,59.25,22.53,22.47,,,
"	1FEFF6F",2022-09-01T09:23:02,0xa017413a321731ea470000,1,0,23.65,58.5,23.49,22.71,,,
"	1FEFF6F",2022-09-01T09:53:08,0xa0170e3a36162fea150000,1,0,23.14,58.54,22.47,22.21,,,
"	1FEFF6F",2022-09-01T10:03:06,0xa016243d041621e95d0000,1,0,22.36,61.4,22.33,23.93,,,
"	1FEFF6F",2022-09-01T10:13:08,0xa0161f3b2a1661e9380000,1,0,22.31,59.42,22.97,23.56,,,
"	1FEFF6F",2022-09-01T10:23:03,0xa016273b631615e94b0000,1,0,22.39,59.99,22.21,23.75,,,
"	1FEFF6F",2022-09-01T10:43:03,0xa015513d12154de9290000,1,0,21.81,61.18,21.77,23.41,,,
"	1FEFF6F",2022-09-01T10:53:03,0xa016173c5e1623e94e0000,1,0,22.23,60.94,22.35,23.78,,,
"	1FEFF6F",2022-09-01T11:23:03,0xa0164b3b381627ea030000,1,0,22.75,59.56,22.39,22.3,,,
"	1FEFF6F",2022-09-01T11:53:06,0xa0175539221725ea440000,1,0,23.85,57.34,23.37,22.68,,,
"	1FEFF6F",2022-09-01T12:03:03,0xa017623a091733ea600000,1,0,23.98,58.9,23.51,22.96,,,
"	1FEFF6F",2022-09-01T12:13:05,0xa0174c3958172dea460000,1,0,23.76,57.88,23.45,22.7,,,
"	1FEFF6F",2022-09-01T12:23:03,0xa017303b07170fea420000,1,0,23.48,59.7,23.15,22.66,,,
"	1FEFF6F",2022-09-01T13:03:05,0xa019333717195deb5c0000,1,0,25.51,55.23,25.93,21.92,,,
"	1FEFF6F",2022-09-01T13:23:06,0xa01a03352f1a01ec090000,1,0,26.3,53.47,26.1,20.9,,,
"	1FEFF6F",2022-09-01T13:33:08,0xa01b2735401c53ed300000,1,0,27.39,53.64,28.83,19.48,,,
"	1FEFF6F",2022-09-01T13:43:03,0xa01b2f34231c4bed1e0000,1,0,27.47,52.35,28.75,19.3,,,
"	1FEFF6F",2022-09-01T14:13:05,0xa01b1134401b57ed060000,1,0,27.17,52.64,27.87,19.6,,,
"	1FEFF6F",2022-09-01T14:43:02,0xa01a0e34441c09ec040000,1,0,26.14,52.68,28.9,20.4,,,
"	1FEFF6F",2022-09-01T14:53:03,0xa01a44344e1c31ec3c0000,1,0,26.68,52.78,28.49,20.6,,,
"	1FEFF6F",2022-09-01T15:03:08,0xa01a18343d1d13ec0d0000,1,0,26.24,52.61,29.19,20.13,,,
"	1FEFF6F",2022-09-01T15:13:08,0xa01a26332b1a19ec030000,1,0,26.38,51.43,26.25,20.3,,,
"	1FEFF6F",2022-09-01T15:23:06,0xa01a26342d1a33ec170000,1,0,26.38,52.45,26.51,20.23,,,
"	1FEFF6F",2022-09-01T15:53:03,0xa018473726184feb0f0000,1,0,24.71,55.38,24.79,21.15,,,
"	1FEFF6F",2022-09-01T16:03:05,0xa01853383a192deb330000,1,0,24.83,56.58,25.45,21.51,,,
"	1FEFF6F",2022-09-01T16:13:05,0xa018513600191fea610000,1,0,24.81,54,25.31,22.97,,,
"	1FEFF6F",2022-09-01T16:23:08,0xa0183037521845eb010000,1,0,24.48,55.82,24.69,21.1,,,
"	1FEFF6F",2022-09-01T16:33:05,0xa0175d37101745ea210000,1,0,23.93,55.16,23.69,22.33,,,
"	1FEFF6F",2022-09-01T16:53:03,0xa0171a394e1739ea120000,1,0,23.26,57.78,23.57,22.18,,,
"	1FEFF6F",2022-09-01T17:03:05,0xa017253900174dea0d0000,1,0,23.37,57,23.77,22.13,,,
"	1FEFF6F",2022-09-01T17:43:05,0xa0166139611663e95d0000,1,0,22.97,57.97,22.99,23.93,,,
"	1FEFF6F",2022-09-01T17:53:03,0xa016503a1c165de9520000,1,0,22.8,58.28,22.93,23.82,,,
"	1FEFF6F",2022-09-01T18:03:03,0xa016463a511655e9530000,1,0,22.7,58.81,22.85,23.83,,,
"	1FEFF6F",2022-09-01T18:13:08,0xa016333b251631e94b0000,1,0,22.51,59.37,22.49,23.75,,,
"	1FEFF6F",2022-09-01T18:23:06,0xa0161d3b5e161be9400000,1,0,22.29,59.94,22.27,23.64,,,
"	1FEFF6F",2022-09-01T18:33:05,0xa016063b521615e9270000,1,0,22.6,59.82,22.21,23.39,,,
"	1FEFF6F",2022-09-01T18:43:08,0xa015623c111609e9260000,1,0,21.98,60.17,22.9,23.38,,,
"	1FEFF6F",2022-09-01T19:13:02,0xa015343c411549e9010000,1,0,21.52,60.65,21.73,23.1,,,
"	1FEFF6F",2022-09-01T19:33:08,0xa0150d3d041525e8460000,1,0,21.13,61.4,21.37,24.7,,,
"	1FEFF6F",2022-09-01T19:43:07,0xa014533d341511e8320000,1,0,20.83,61.52,21.17,24.5,,,
"	1FEFF6F",2022-09-01T20:03:03,0xa014303e18145fe81d0000,1,0,20.48,62.24,20.95,24.29,,,
"	1FEFF6F",2022-09-01T21:03:02,0xa0124b401a1331e6610000,1,0,18.75,64.26,19.49,26.97,,,
"	1FEFF6F",2022-09-01T21:13:03,0xa0122d4117132fe6560000,1,0,18.45,65.23,19.47,26.86,,,
"	1FEFF6F",2022-09-01T21:43:06,0xa0115d42011325e6320000,1,0,17.93,66.1,19.37,26.5,,,
"	1FEFF6F",2022-09-01T22:13:03,0xa0120e414b1317e6410000,1,0,18.14,65.75,19.23,26.65,,,
